공중전화,주소
공중전화 오승빌라앞 52사단입구 소하동,경기 광명시 영우로 8
공중전화 광명사거리역 8번출구 버스정류장,경기 광명시 광명동 158-71
공중전화 KTX 광명역 3번출구,경기 광명시 일직동 468-6
공중전화 KTX 광명역 7번출구,경기 광명시 일직동 539
공중전화 광명 21세기병원,경기 광명시 광명동 158-961
공중전화 스타벅스광명소하점,경기 광명시 소하동 1077
공중전화 새마을금고소하지점앞,경기 광명시 소하동 34-72
공중전화 철산주공4단지입구 철산동,경기 광명시 철산동 523
공중전화 소하 동양아파트2차정문 소하1동,경기 광명시 소하동 48-56
공중전화 하안4단지관리소 하안동,경기 광명시 하안동 651
공중전화 광명보건소 하안동,경기 광명시 오리로 613
공중전화 경기항공고등학교 버스정류장옆 광명시청방면,경기 광명시 광명동 158-234
공중전화 현대아파트1차상가내 하안동,경기 광명시 가림일로 55
공중전화 철산 주공12단지경비실옆 철산동,경기 광명시 철산동 449
공중전화 하안7단지관리소 하안동,경기 광명시 하안동 295
공중전화 광명우체국앞 광명2동,경기 광명시 광명동 92-6
공중전화 7호선 광명사거리역 매표소 광명동방면,경기 광명시 오리로 지하 980
공중전화 도덕파출소앞 광명동,경기 광명시 광명동 692-7
공중전화 하안11단지관리소 하안동,경기 광명시 하안동 27
공중전화 광명성당 광명동,경기 광명시 광명동 158-837
공중전화 소하휴먼시아6단지상가앞,경기 광명시 소하동 1324
공중전화 하안8단지관리소 하안동,경기 광명시 하안동 260
공중전화 2001아울렛나산백화점앞,경기 광명시 철산동 526
공중전화 소하 삼익아파트 소하1동,경기 광명시 하안로 172
공중전화 광명6동삼거리우체국앞,경기 광명시 광명동 346-52
공중전화 경기항공고등학교 버스정류장옆 광명시장방면 ATM겸용부스,경기 광명시 광명동 158-961
공중전화 광덕빌딩앞 철산3동 ATM겸용부스,경기 광명시 철산동 523
공중전화 진성고등학교 매점2 하안동,경기 광명시 철망산로 84
공중전화 광명한진아파트정문 광명동,경기 광명시 광명동 200-6
공중전화 하안13단지입구 하안동,경기 광명시 하안동 200
공중전화 7호선 철산역 매표소(철산방면)(우측),경기 광명시 철산로 지하 13
공중전화 철산주공12단지 경비실옆 철산동,경기 광명시 철산동 449
공중전화 하안종합운동장,경기 광명시 하안동 577
공중전화 하안 주공5단지B상가 ATM겸용부스,경기 광명시 하안동 702-2
공중전화 광명시민회관앞 철산3동,경기 광명시 철산동 222-1
공중전화 하안주공5단지아파트상가 하안동,경기 광명시 하안동 702
공중전화 소하삼거리앞 소하동,경기 광명시 소하동 915-1
공중전화 광명 성애병원 1층 철산동,경기 광명시 디지털로 36
공중전화 광문중학교,경기 광명시 덕단이로 43
공중전화 하안12단지관리소 하안동,경기 광명시 하안동 110
공중전화 하안10단지1005동옆 하안동,경기 광명시 하안동 30
공중전화 중앙하이츠아파트 광명7동,경기 광명시 광명동 732
공중전화 소하2동행정복지센터,경기 광명시 성채로 52
공중전화 하안 주공5단지관리소 하안동,경기 광명시 하안동 702
공중전화 골든힐빌딩앞 하안동,경기 광명시 하안동 712
공중전화 기아복지매장앞 소하동,경기 광명시 충현로 32
공중전화 하안9단지상가 하안동,경기 광명시 하안동 13-2
공중전화 하안단독필지 입구 ATM겸용부스,경기 광명시 하안동 722
공중전화 광명여성회관 소하동,경기 광명시 오리로366번길 6
공중전화 새마을시장삼거리 광명동,경기 광명시 광명동 343-4
공중전화 철산동단독필지 철산동 ATM겸용부스,경기 광명시 철산동 468-1
공중전화 광명경영회계고등학교,경기 광명시 기아로13번안길 9-9
공중전화 온신초등학교앞 노온사동,경기 광명시 노온사동 987-3
공중전화 7호선 광명사거리역 승강장 대림방면,경기 광명시 오리로 지하 980
공중전화 하안6단지관리소 하안동,경기 광명시 하안동 296
공중전화 광명사회복지관 1층 광명3동,경기 광명시 오리로 1018
공중전화 광명사거리역4번출구,경기 광명시 광명로 895-5
공중전화 광명한진아파트105동 광명동,경기 광명시 광명동 200-6
공중전화 철산주공1211동앞 철산동,경기 광명시 철산동 449-6
공중전화 7호선 철산역 매표소 철산방면 좌측,경기 광명시 철산로 지하 13
공중전화 광명상우1차아파트 광명7동,경기 광명시 광명동 717-3
공중전화 철산13단지관리소 철산동,경기 광명시 철산동 241
공중전화 하안사거리,경기 광명시 하안동 712
공중전화 광명교회 건너,경기 광명시 광명동 297-56
공중전화 광명시민회관건너 철산동,경기 광명시 철산동 467-3
공중전화 광남새마을금고앞 광명동,경기 광명시 광명동 290-1
공중전화 예지요양병원 광명동 ATM겸용부스,경기 광명시 광명동 290-23
공중전화 광명종합사회복지관앞,경기 광명시 광명동 158-232
공중전화 광명기술공업고등학교 광명동,경기 광명시 새터안로 20
공중전화 소하복지회관앞 소하2동,경기 광명시 소하동 324-2
공중전화 중앙하이츠3차아파트 광명6동,경기 광명시 광명동 374-142
공중전화 광명시 중앙도서관 4층 광명동,경기 광명시 원광명안로 48
공중전화 하안2단지관리소 하안동,경기 광명시 하안동 682
공중전화 우성아파트 철산1동,경기 광명시 철산동 58
공중전화 하안2동행정복지센터앞,경기 광명시 하안동 682-1
공중전화 소하동양A2차 후문 소하1동,경기 광명시 소하동 48-55
공중전화 하안 주공5단지아파트상가 하안동,경기 광명시 하안동 702
공중전화 철산 한신아파트앞 철산동,경기 광명시 철산동 367
공중전화 하안10단지관리소 하안동,경기 광명시 하안동 30
공중전화 광명시 중앙도서관 2층 광명동,경기 광명시 원광명안로 48
공중전화 광명경륜장 2층A동 광명동,경기 광명시 광명로 721
공중전화 철산4동회앞 철산4동,경기 광명시 도덕공원로 60
공중전화 도덕파크광장 철산동,경기 광명시 철산동 625
공중전화 철산한신아파트앞 철산동,경기 광명시 철산동 367
공중전화 광명시청 현관앞 철산3동,경기 광명시 철산동 222-1
공중전화 하안북초등학교 하안동,경기 광명시 가림로 22
공중전화 광명 한진아파트105동 광명동,경기 광명시 광명동 200-6
공중전화 하안주공5단지관리소 하안동,경기 광명시 하안동 702
공중전화 광명시청현관앞 철산3동,경기 광명시 철산동 222-1
공중전화 소하동양A2차 정문 소하1동,경기 광명시 소하동 48-56
